Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,K.J. Britt,24.0,LB,2,2,0,0,0,0,1,0,0,0,0,0,0.0,15,7,8,1,0,0,
2.0,Lavonte David,33.0,LB,2,2,0,0,0,0,0,1,0,0,0,0,1.0,18,14,4,4,1,0,
3.0,Carlton Davis,26.0,RCB,2,2,0,0,0,0,2,0,0,0,0,0,0.0,11,10,1,0,0,0,
4.0,Jamel Dean,27.0,CB,2,2,0,0,0,0,4,0,0,0,0,0,0.0,15,13,2,1,0,0,
5.0,YaYa Diaby,24.0,OLB,2,2,0,0,0,0,0,0,0,0,0,0,0.0,4,3,1,0,0,0,
6.0,Logan Hall,23.0,DL,2,2,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
7.0,Calijah Kancey,22.0,DL,2,2,0,0,0,0,1,0,0,0,0,0,1.5,6,4,2,2,2,0,
8.0,Vita Vea,28.0,NT,2,2,0,0,0,0,0,0,0,0,0,0,0.5,3,2,1,0,2,0,
9.0,Antoine Winfield Jr.,25.0,S,2,2,0,0,0,0,1,0,0,0,0,0,0.0,5,4,1,0,1,0,
10.0,William Gholston,32.0,DL,2,1,0,0,0,0,0,0,0,0,0,0,0.0,2,1,1,0,0,0,
11.0,Ryan Neal,28.0,S,1,1,0,0,0,0,0,0,0,0,0,0,0.0,3,1,2,0,0,0,
12.0,Dee Delaney,28.0,DB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
13.0,SirVocea Dennis,23.0,LB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
14.0,Payne Durham,23.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
15.0,Greg Gaines,27.0,DL,2,0,0,0,0,0,0,0,0,0,0,0,1.0,3,1,2,1,1,0,
16.0,Christian Izien,23.0,S,2,0,0,0,0,0,0,0,0,0,0,0,0.0,6,5,1,0,0,0,
17.0,Zyon McCollum,24.0,CB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,9,8,1,0,0,0,
18.0,Kaevon Merriweather,24.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
19.0,Anthony Nelson,26.0,OLB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,1,0,
20.0,Pat O'Connor,30.0,DL,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
21.0,Joe Tryon-Shoyinka,24.0,OLB,2,0,0,0,0,0,0,0,0,0,0,0,1.0,4,2,2,0,2,0,
22.0,Devin White,25.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,3,0,3,0,0,0,
,Team Totals,,,2,2,0,0,0,0,9,1,0,0,0,0,5.0,116,82,34,9,10,0,
