Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Unnamed: 21_level_0,Unnamed: 22_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,Sfty,Awards
1.0,Stephen Alexander,25.0,TE,16,16,0,0,0,0,0.0,0,2,0,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
2.0,Champ Bailey,22.0,LCB,16,16,5,48,0,48,14.0,0,0,1,0,0,0.0,61.0,56.0,5.0,0.0,0,"PB,AP-2"
3.0,Marco Coleman,31.0,LDE,16,16,0,0,0,0,2.0,2,0,0,0,0,12.0,51.0,41.0,10.0,17.0,0,PB
4.0,Mark Fischer,26.0,C,16,16,0,0,0,0,,0,1,0,-18,0,0.0,,,,,0,
5.0,Bruce Smith,37.0,RDE,16,16,0,0,0,0,2.0,4,0,0,0,0,10.0,57.0,48.0,9.0,13.0,1,
6.0,Dan Wilkinson,27.0,LDT,16,16,0,0,0,0,2.0,0,0,0,0,0,3.5,21.0,16.0,5.0,4.0,0,
7.0,Mark Carrier,32.0,FS,15,15,1,30,0,30,4.0,1,0,0,0,0,0.0,69.0,55.0,14.0,2.0,0,
8.0,Stephen Davis,26.0,RB,15,15,0,0,0,0,0.0,0,4,1,0,0,0.0,0.0,0.0,0.0,0.0,0,PB
9.0,Deion Sanders,33.0,RCB,16,15,4,91,0,32,9.0,1,3,2,0,0,0.0,41.0,38.0,3.0,0.0,0,
10.0,Shawn Barber,25.0,LLB,14,14,0,0,0,0,2.0,0,0,3,0,0,2.0,65.0,58.0,7.0,9.0,0,
11.0,Sam Shade,27.0,SS,16,14,2,15,0,15,5.0,0,0,4,1,0,1.0,98.0,83.0,15.0,3.0,0,
12.0,Derek Smith,25.0,MLB,16,14,0,0,0,0,3.0,1,0,1,0,0,1.0,89.0,72.0,17.0,7.0,0,
13.0,Dana Stubblefield,30.0,RDT,15,14,0,0,0,0,4.0,0,0,1,0,0,2.5,39.0,32.0,7.0,7.0,0,
14.0,Keith Sims,33.0,LG,13,13,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
15.0,LaVar Arrington,22.0,RLB,16,11,0,0,0,0,4.0,0,0,0,0,0,4.0,55.0,45.0,10.0,8.0,0,
16.0,Brad Johnson,32.0,QB,12,11,0,0,0,0,0.0,0,5,2,-14,0,0.0,0.0,0.0,0.0,0.0,0,
17.0,James Thrash,25.0,WR,16,9,0,0,0,0,0.0,0,1,1,0,0,0.0,3.0,3.0,0.0,0.0,0,
18.0,Larry Centers,32.0,FB,15,6,0,0,0,0,0.0,0,1,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
19.0,Mike Sellers,25.0,TE,15,6,0,0,0,0,0.0,0,0,0,0,0,0.0,14.0,12.0,2.0,0.0,0,
20.0,Jeff George,33.0,QB,6,5,0,0,0,0,0.0,0,3,1,-3,0,0.0,,,,,0,
21.0,Greg Jones,26.0,LB,16,4,0,0,0,0,0.0,0,0,1,0,0,1.0,14.0,12.0,2.0,1.0,0,
22.0,Matt Stevens,27.0,DB,15,4,1,0,0,0,1.0,2,0,1,1,0,0.0,45.0,35.0,10.0,0.0,0,
23.0,Darrell Green,40.0,DB,13,2,3,35,0,33,8.0,2,0,0,0,0,0.0,24.0,23.0,1.0,0.0,0,
24.0,Nolan Harrison,31.0,DE,16,2,0,0,0,0,0.0,0,0,0,0,0,1.0,9.0,7.0,2.0,3.0,0,
25.0,Andy Heck,33.0,T,16,2,0,0,0,0,0.0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0,0,
26.0,Eddie Mason,28.0,LB,16,2,0,0,0,0,0.0,0,0,0,0,0,2.0,32.0,31.0,1.0,2.0,0,
27.0,Tyronne Drakeford,29.0,DB,9,1,0,0,0,0,1.0,0,0,0,0,0,0.0,5.0,3.0,2.0,0.0,0,
28.0,Skip Hicks,26.0,RB,10,1,0,0,0,0,0.0,0,1,0,0,0,0.0,3.0,2.0,1.0,0.0,0,
29.0,Chad Dukes,29.0,RB,1,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
30.0,Zeron Flemister,24.0,TE,5,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,2.0,0.0,0.0,0,
31.0,Reggie Givens,29.0,LB,9,0,0,0,0,0,0.0,0,0,0,0,0,0.0,6.0,4.0,2.0,0.0,0,
32.0,Kris Heppner,23.0,K,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
33.0,Michael Husted,30.0,K,4,0,0,0,0,0,0.0,0,0,0,0,0,0.0,1.0,1.0,0.0,0.0,0,
34.0,N.D. Kalu,25.0,DE,15,0,0,0,0,0,1.0,0,0,1,4,0,1.0,7.0,4.0,3.0,1.0,0,
35.0,Kenard Lang,25.0,DE,16,0,0,0,0,0,5.0,1,0,1,0,0,3.0,15.0,15.0,0.0,5.0,0,
36.0,Kevin Mitchell,29.0,LB,16,0,1,0,0,0,1.0,0,0,0,0,0,1.0,22.0,19.0,3.0,3.0,0,
37.0,Adrian Murrell,30.0,RB,15,0,0,0,0,0,0.0,0,1,0,0,0,0.0,0.0,0.0,0.0,0.0,0,
38.0,David Terrell,25.0,DB,16,0,0,0,0,0,0.0,1,0,2,0,0,0.0,14.0,13.0,1.0,2.0,0,
39.0,Joe Zelenka,24.0,LS,16,0,0,0,0,0,0.0,0,0,0,0,0,0.0,2.0,1.0,1.0,0.0,0,
,Team Totals,,,16,16,17,219,0,48,68.0,15,22,26,-29,0,45.0,866.0,733.0,133.0,87.0,1,
