Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Clinton Portis,27.0,RB,16,16,342,1487,9,78,46.8,31.0,4.3,92.9,21.4,35,28,218,7.8,0,11,48.6,29.0,1.8,13.6,80.0,6.2,370,4.6,1705,9,3,"PB,AP-2"
2.0,Santana Moss,29.0,WR,16,16,1,27,0,1,100.0,27.0,27.0,1.7,0.1,138,79,1044,13.2,6,50,47.8,67.0,4.9,65.3,57.2,7.6,80,13.4,1071,6,1,
3.0,Chris Cooley,26.0,TE,16,16,0,0,0,0,,,,0.0,0.0,111,83,849,10.2,1,43,62.2,28.0,5.2,53.1,74.8,7.6,83,10.2,849,1,3,PB
4.0,Antwaan Randle El,29.0,WR,16,16,1,5,0,0,100.0,5.0,5.0,0.3,0.1,87,53,593,11.2,4,34,54.0,31.0,3.3,37.1,60.9,6.8,54,11.1,598,4,2,
5.0,Ladell Betts,29.0,RB,13,0,61,206,1,15,42.6,14.0,3.4,15.8,4.7,35,22,200,9.1,0,5,31.4,27.0,1.7,15.4,62.9,5.7,83,4.9,406,1,1,
6.0,Jason Campbell,27.0,QB,16,16,47,258,1,15,42.6,23.0,5.5,16.1,2.9,0,0,0,,0,0,,,0.0,0.0,,,47,5.5,258,1,7,
7.0,Devin Thomas,22.0,WR,16,1,3,53,1,2,100.0,29.0,17.7,3.3,0.2,27,15,120,8.0,0,7,40.7,18.0,0.9,7.5,55.6,4.4,18,9.6,173,1,0,
8.0,Mike Sellers,33.0,FB,16,6,6,24,0,1,16.7,10.0,4.0,1.5,0.4,15,12,98,8.2,1,5,40.0,20.0,0.8,6.1,80.0,6.5,18,6.8,122,1,1,PB
9.0,James Thrash,33.0,WR,16,5,0,0,0,0,,,,0.0,0.0,22,9,81,9.0,1,3,27.3,29.0,0.6,5.1,40.9,3.7,9,9.0,81,1,0,
10.0,Todd Yoder,30.0,TE,16,2,0,0,0,0,,,,0.0,0.0,10,8,50,6.3,1,4,50.0,14.0,0.5,3.1,80.0,5.0,8,6.3,50,1,0,
11.0,Shaun Alexander,31.0,RB,4,0,11,24,0,0,0.0,8.0,2.2,6.0,2.8,1,1,9,9.0,0,0,0.0,9.0,0.3,2.3,100.0,9.0,12,2.8,33,0,0,
12.0,Fred Davis,22.0,TE,11,2,1,-3,0,0,0.0,-3.0,-3.0,-0.3,0.1,10,3,27,9.0,0,1,30.0,15.0,0.3,2.5,30.0,2.7,4,6.0,24,0,0,
13.0,Malcolm Kelly,22.0,WR,5,0,0,0,0,0,,,,0.0,0.0,11,3,18,6.0,0,1,27.3,7.0,0.6,3.6,27.3,1.6,3,6.0,18,0,0,
14.0,Rock Cartwright,29.0,FB,16,0,5,14,0,0,0.0,7.0,2.8,0.9,0.3,1,1,-7,-7.0,0,0,0.0,-7.0,0.1,-0.4,100.0,-7.0,6,1.2,7,0,0,
15.0,Lorenzo Alexander,25.0,LB,15,0,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
16.0,Pete Kendall,35.0,LG,16,16,0,0,0,0,,,,0.0,0.0,1,1,-9,-9.0,0,0,0.0,-9.0,0.1,-0.6,100.0,-9.0,1,-9.0,-9,0,1,
,Team Totals,,,16,16,478,2095,12,112,44.4,31.0,4.4,130.9,29.9,505,318,3291,10.3,14,164,48.3,67.0,19.9,205.7,63.0,6.5,796,6.8,5386,26,19,
