Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Unnamed: 7_level_0,Unnamed: 8_level_0,Unnamed: 9_level_0,Score,Score,Offense,Offense,Offense,Offense,Offense,Defense,Defense,Defense,Defense,Defense,Expected Points,Expected Points,Expected Points
Week,Day,Date,Unnamed: 3_level_1,Unnamed: 4_level_1,Unnamed: 5_level_1,OT,Rec,Unnamed: 8_level_1,Opp,Tm,Opp,1stD,TotYd,PassY,RushY,TO,1stD,TotYd,PassY,RushY,TO,Offense,Defense,Sp. Tms
1,Sun,September 9,1:03PM ET,boxscore,W,,1-0,@,New Orleans Saints,40.0,32.0,22.0,459.0,306.0,153.0,,24.0,358.0,326.0,32.0,3.0,14.09,-1.68,-5.25
2,Sun,September 16,4:05PM ET,boxscore,L,,1-1,@,St. Louis Rams,28.0,31.0,18.0,373.0,197.0,176.0,1.0,23.0,452.0,301.0,151.0,3.0,7.11,-3.93,-4.81
3,Sun,September 23,1:03PM ET,boxscore,L,,1-2,,Cincinnati Bengals,31.0,38.0,31.0,381.0,179.0,202.0,1.0,22.0,478.0,385.0,93.0,2.0,4.89,-10.79,-0.9
4,Sun,September 30,4:25PM ET,boxscore,W,,2-2,@,Tampa Bay Buccaneers,24.0,22.0,27.0,474.0,321.0,153.0,,16.0,373.0,293.0,80.0,1.0,18.1,-0.91,-18.98
5,Sun,October 7,1:04PM ET,boxscore,L,,2-3,,Atlanta Falcons,17.0,24.0,12.0,316.0,187.0,129.0,2.0,28.0,421.0,338.0,83.0,2.0,-6.05,-1.6,-1.66
6,Sun,October 14,4:24PM ET,boxscore,W,,3-3,,Minnesota Vikings,38.0,26.0,20.0,361.0,178.0,183.0,1.0,27.0,421.0,327.0,94.0,3.0,13.91,-0.2,-3.02
7,Sun,October 21,1:03PM ET,boxscore,L,,3-4,@,New York Giants,23.0,27.0,24.0,480.0,232.0,248.0,4.0,22.0,393.0,329.0,64.0,2.0,5.54,-13.48,4.16
8,Sun,October 28,1:02PM ET,boxscore,L,,3-5,@,Pittsburgh Steelers,12.0,27.0,17.0,255.0,169.0,86.0,,25.0,355.0,215.0,140.0,,-1.87,-14.8,0.3
9,Sun,November 4,1:05PM ET,boxscore,L,,3-6,,Carolina Panthers,13.0,21.0,24.0,337.0,186.0,151.0,,18.0,330.0,201.0,129.0,,-0.97,-11.79,2.32
10,,,,,,,,,Bye Week,,,,,,,,,,,,,,,
11,Sun,November 18,1:03PM ET,boxscore,W,,4-6,,Philadelphia Eagles,31.0,6.0,15.0,361.0,192.0,169.0,,16.0,257.0,177.0,80.0,3.0,11.54,19.37,-5.39
12,Thu,November 22,4:41PM ET,boxscore,W,,5-6,@,Dallas Cowboys,38.0,31.0,22.0,437.0,288.0,149.0,1.0,22.0,458.0,423.0,35.0,3.0,15.22,-6.7,4.47
13,Mon,December 3,8:40PM ET,boxscore,W,,6-6,,New York Giants,17.0,16.0,20.0,370.0,163.0,207.0,1.0,21.0,390.0,273.0,117.0,,13.04,-13.66,4.59
14,Sun,December 9,1:03PM ET,boxscore,W,OT,7-6,,Baltimore Ravens,31.0,28.0,22.0,423.0,244.0,179.0,1.0,18.0,359.0,173.0,186.0,2.0,10.08,-8.93,1.57
15,Sun,December 16,1:03PM ET,boxscore,W,,8-6,@,Cleveland Browns,38.0,21.0,25.0,430.0,308.0,122.0,1.0,13.0,291.0,233.0,58.0,2.0,11.88,9.43,-0.39
16,Sun,December 23,1:03PM ET,boxscore,W,,9-6,@,Philadelphia Eagles,27.0,20.0,18.0,313.0,185.0,128.0,1.0,25.0,411.0,321.0,90.0,2.0,7.09,-5.53,0.72
17,Sun,December 30,8:31PM ET,boxscore,W,,10-6,,Dallas Cowboys,28.0,18.0,24.0,361.0,87.0,274.0,,20.0,296.0,196.0,100.0,3.0,16.28,-0.69,-7.18
,,Playoffs,,,,,,,,,,,,,,,,,,,,,,
Wild Card,Sun,January 6,4:40PM ET,boxscore,L,,10-7,,Seattle Seahawks,14.0,24.0,15.0,203.0,99.0,104.0,2.0,22.0,380.0,156.0,224.0,1.0,-9.36,-6.2,2.26
