Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Chris Chester,30.0,RG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
2.0,Barry Cofield,29.0,NT,16,16,0,0,0,0,1,0,0,1,0,0,2.5,32,17,15,5.0,11.0,0,
3.0,London Fletcher,38.0,LILB,16,16,0,0,0,0,2,1,0,0,0,0,2.0,111,63,48,4.0,3.0,0,
4.0,Pierre Garcon,27.0,WR,16,16,0,0,0,0,0,0,1,1,0,0,0.0,0,0,0,0.0,0.0,0,AP CPoY-6
5.0,DeAngelo Hall,30.0,LCB,16,16,4,49,2,26,13,3,0,1,75,1,0.0,78,57,21,1.0,0.0,0,
6.0,Ryan Kerrigan,25.0,LOLB,16,16,0,0,0,0,3,4,0,0,0,0,8.5,66,47,19,15.0,7.0,0,
7.0,Kory Lichtensteiger,28.0,LG,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
8.0,Alfred Morris,25.0,RB,16,16,0,0,0,0,0,0,5,1,0,0,0.0,0,0,0,0.0,0.0,0,PB
9.0,Tyler Polumbus,28.0,RT,16,16,0,0,0,0,0,0,0,1,0,0,0.0,0,0,0,0.0,0.0,0,
10.0,Perry Riley,25.0,RILB,16,16,1,0,0,0,8,0,0,1,6,0,3.0,115,72,43,7.0,9.0,0,
11.0,Josh Wilson,28.0,RCB,16,16,1,0,0,0,7,2,0,3,1,0,2.0,93,68,25,5.0,5.0,0,
12.0,Brian Orakpo,27.0,ROLB,15,15,1,29,1,29,4,0,0,2,0,0,10.0,60,43,17,16.0,18.0,0,PB
13.0,Logan Paulsen,26.0,TE,16,14,0,0,0,0,0,0,2,2,0,0,0.0,2,2,0,0.0,0.0,0,
14.0,Robert Griffin III,23.0,QB,13,13,0,0,0,0,0,0,11,2,-36,0,0.0,0,0,0,0.0,0.0,0,
15.0,Brandon Meriweather,29.0,FS,13,13,2,62,0,32,3,1,0,1,0,0,1.0,69,53,16,3.0,2.0,0,
16.0,Stephen Bowen,29.0,RDE,10,10,0,0,0,0,1,0,0,0,0,0,0.0,19,11,8,2.0,2.0,0,
17.0,David Amerson,22.0,SS,16,8,2,45,1,45,10,1,0,0,0,0,0.0,48,40,8,1.0,1.0,0,
18.0,Reed Doughty,31.0,SS,15,8,1,25,0,25,2,0,0,0,0,0,0.0,80,47,33,1.0,0.0,0,
19.0,Kedric Golston,30.0,LDE,16,8,0,0,0,0,0,0,0,0,0,0,0.0,21,10,11,1.0,1.0,0,
