Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Receiving,Scrimmage,Scrimmage,Scrimmage,Scrimmage,Unnamed: 31_level_0,Unnamed: 32_level_0
Rk,Player,Age,Pos,G,GS,Att,Yds,TD,1D,Succ%,Lng,Y/A,Y/G,A/G,Tgt,Rec,Yds,Y/R,TD,1D,Succ%,Lng,R/G,Y/G,Ctch%,Y/Tgt,Touch,Y/Tch,YScm,RRTD,Fmb,Awards
1.0,Cam Sims,24.0,WR,1,1,0,0,0,0,,,,0.0,0.0,13,7,104,14.9,0,5,53.8,36.0,7.0,104.0,53.8,8.0,7,14.9,104,0,0,
2.0,Terry McLaurin,25.0,WR,1,1,0,0,0,0,,,,0.0,0.0,7,6,75,12.5,0,5,71.4,18.0,6.0,75.0,85.7,10.7,6,12.5,75,0,0,
3.0,Logan Thomas,29.0,TE,1,1,0,0,0,0,,,,0.0,0.0,9,5,74,14.8,0,3,44.4,29.0,5.0,74.0,55.6,8.2,5,14.8,74,0,0,
4.0,Taylor Heinicke,27.0,QB,1,1,6,46,1,4,66.7,13.0,7.7,46.0,6.0,0,0,0,,0,0,,,0.0,0.0,,,6,7.7,46,1,0,
5.0,Steven Sims,23.0,WR,1,0,1,4,0,0,100.0,4.0,4.0,4.0,1.0,4,3,33,11.0,1,2,50.0,12.0,3.0,33.0,75.0,8.3,4,9.3,37,1,0,
6.0,Antonio Gibson,22.0,RB,1,1,14,31,0,2,21.4,11.0,2.2,31.0,14.0,3,2,4,2.0,0,0,0.0,3.0,2.0,4.0,66.7,1.3,16,2.2,35,0,0,
7.0,J.D. McKissic,27.0,RB,1,0,2,5,1,1,50.0,3.0,2.5,5.0,2.0,3,2,8,4.0,0,0,33.3,7.0,2.0,8.0,66.7,2.7,4,3.3,13,1,0,
8.0,Jeremy Sprinkle,26.0,TE,1,0,0,0,0,0,,,,0.0,0.0,1,1,8,8.0,0,0,100.0,8.0,1.0,8.0,100.0,8.0,1,8.0,8,0,0,
9.0,Isaiah Wright,23.0,WR,1,1,0,0,0,0,,,,0.0,0.0,1,0,0,,0,0,0.0,,0.0,0.0,0.0,0.0,0,,0,0,0,
,Team Totals,,,1,1,23,86,2,7,39.1,13.0,3.7,86.0,23.0,41,26,306,11.8,1,15,48.8,36.0,26.0,306.0,63.4,7.5,49,8.0,392,3,0,
