Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Def Interceptions,Fumbles,Fumbles,Fumbles,Fumbles,Fumbles,Unnamed: 16_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Unnamed: 22_level_0,Unnamed: 23_level_0
Rk,Player,Age,Pos,G,GS,Int,Yds,IntTD,Lng,PD,FF,Fmb,FR,Yds,FRTD,Sk,Comb,Solo,Ast,TFL,QBHits,Sfty,Awards
1.0,Dorance Armstrong Jr.,27.0,RDE,3,3,0,0,0,0,0,1,0,0,0,0,3.5,9,4,5,3,4,0,
2.0,Jeremy Chinn,26.0,FS,3,3,1,7,0,7,1,0,0,0,0,0,0.0,29,17,12,0,0,0,
3.0,Marshon Lattimore,28.0,CB,3,3,0,0,0,0,2,0,0,0,0,0,0.0,15,11,4,1,0,0,
4.0,Frankie Luvu,28.0,RLB,3,3,0,0,0,0,0,0,0,1,0,0,1.0,17,10,7,2,1,0,
5.0,Quan Martin,24.0,SS,3,3,1,40,1,40,1,0,0,0,0,0,0.0,12,7,5,0,0,0,
6.0,Mike Sainristil,24.0,RCB,3,3,2,22,0,22,4,0,0,0,0,0,0.0,11,8,3,0,0,0,
7.0,Bobby Wagner,34.0,MLB,3,3,0,0,0,0,0,0,0,1,0,0,0.5,25,12,13,1,1,0,
8.0,Jonathan Allen,29.0,DT,2,2,0,0,0,0,0,0,0,0,0,0,0.0,6,4,2,1,2,0,
9.0,Dyami Brown,25.0,WR,2,2,0,0,0,0,0,0,2,0,0,0,0.0,0,0,0,0,0,0,
10.0,Dante Fowler,30.0,LLB,3,2,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,1,1,0,
11.0,Noah Igbinoghene,25.0,CB,3,2,0,0,0,0,0,0,0,0,0,0,0.0,10,7,3,2,0,0,
12.0,Carl Davis,32.0,DE,1,1,0,0,0,0,0,0,0,0,0,0,0.0,5,2,3,0,0,0,
13.0,Jalyn Holmes,28.0,DT,2,1,0,0,0,0,0,0,0,0,0,0,0.0,3,3,0,1,0,0,
14.0,Jordan Magee,23.0,LB,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
15.0,Daron Payne,27.0,RDT,1,1,0,0,0,0,0,0,0,0,0,0,0.0,1,1,0,0,0,0,
16.0,Nick Bellore,35.0,LB,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
17.0,Percy Butler,24.0,S,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
18.0,Sheldon Day,30.0,DT,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
19.0,Austin Ekeler,29.0,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
20.0,Clelin Ferrell,27.0,LDE,3,0,0,0,0,0,1,0,0,0,0,0,0.0,4,2,2,0,1,0,
21.0,Darrick Forrest,25.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,0,2,0,0,0,
22.0,Javontae Jean-Baptiste,24.0,DE,3,0,0,0,0,0,0,0,0,0,0,0,0.0,4,1,3,0,0,0,
23.0,Jeremy McNichols,29.0,RB,1,0,0,0,0,0,0,0,1,0,0,0,0.0,0,0,0,0,0,0,
24.0,Jer'Zhan Newton,22.0,LDT,2,0,0,0,0,0,0,0,0,0,0,0,0.0,4,4,0,1,0,0,
25.0,Jeremy Reaves,28.0,S,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
26.0,Kevon Seymour,31.0,CB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
27.0,Benjamin St-Juste,27.0,LCB,1,0,0,0,0,0,0,0,0,0,0,0,0.0,2,2,0,0,0,0,
28.0,Mykal Walker,27.0,OLB,3,0,0,0,0,0,0,0,0,0,0,0,0.0,5,3,2,0,0,0,
29.0,Colson Yankoff,24.0,TE,1,0,0,0,0,0,0,0,0,0,0,0,0.0,1,0,1,0,0,0,
,Team Totals,,,3,3,4,69,1,40,9,1,4,2,0,0,5.0,183,105,78,13,10,0,
