season,week,event_date,tm_location,opp_location,tm_nano,tm_market,tm_name,tm_alias,tm_alt_market,opp_nano,opp_market,opp_name,opp_alias,opp_alt_market,player,age,started,dnp,dnp_reason,rush_att,rush_yds,rush_yds_per_att,rush_tds,targets,rec,rec_yds,rec_yds_per_rec,rec_tds,catch_pct,rec_yds_per_tgt,pass_cmp,pass_att,pass_cmp_pct,pass_yds,pass_tds,pass_int,passer_rating,times_sacked,yds_sacked_for,pass_yds_per_att,pass_adj_yds_per_att,two_pt_md,all_tds,scoring,sacks,tackles_solo,tackles_assists,tackles_combined,tackles_loss,qb_hits,fumbles,fumbles_lost,fumbles_forced,fumbles_rec,fumbles_rec_yds,fumbles_rec_td,def_int,def_int_yds,def_int_tds,pass_defended,punt,punt_yds,punt_yds_per_punt,punt_ret_yds_opp,punt_net_yds,punt_net_yds_per_punt,punt_tb,punt_tb_pct,punt_in_20,punt_in_20_pct,punt_blocked,kick_ret,kick_ret_yds,kick_ret_yds_per_ret,kick_ret_tds,punt_ret,punt_ret_yds,punt_ret_yds_per_ret,punt_ret_tds,snap_count_offense,snap_count_offense_pct,snap_count_defense,snap_count_defense_pct,snap_count_special_teams,snap_count_special_teams_pct,player_stats_link
2001,1,2001-09-09,H,A,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,9JtBk8kFeaGEs,Washington,Commanders,WAS,was,David Binn,29.215,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,2,2001-09-23,A,H,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,KdjU81i7YSFE7,Dallas,Cowboys,DAL,dal,David Binn,29.229,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,3,2001-09-30,H,A,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,22ZdibiqvfA2D,Cincinnati,Bengals,CIN,cin,David Binn,29.236,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,4,2001-10-07,A,H,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,IR4gIYmh269EI,Cleveland,Browns,CLE,cle,David Binn,29.243,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,5,2001-10-14,A,H,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,VkxV91RtzHn65,New England,Patriots,NE,nwe,David Binn,29.25,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,6,2001-10-21,H,A,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,6DclFuycdPaOB,Denver,Broncos,DEN,den,David Binn,29.257,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,7,2001-10-28,H,A,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,3VqeLK0LS9rpw,Buffalo,Bills,BUF,buf,David Binn,29.264,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,8,2001-11-04,H,A,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,oiGiwWPf0UqMC,Kansas City,Chiefs,KC,kan,David Binn,29.271,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,9,2001-11-11,A,H,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,6DclFuycdPaOB,Denver,Broncos,DEN,den,David Binn,29.278,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
2001,10,2001-11-18,A,H,SjaMbkmeizJD4,Los Angeles,Chargers,LAC,sdg,LZoDld8s63xUs,Las Vegas,Raiders,LV,oak,David Binn,29.285,0,0,Played,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,https://www.pro-football-reference.com/players/B/BinnDa20.htm/gamelog/
