Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,800;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,800;00:08,240;"you have the choice not to."
00:08,240;00:12,680;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,680;00:16,000;"to be funny, but really they're just being stupid."
00:16,000;00:17,240;"You still want to listen?"
00:17,240;00:18,240;"Go right ahead."
00:18,240;00:19,640;"I am not your mother."
00:19,640;00:31,280;"Welcome back to yet another playoff podcast, special playoff episode, I guess you could"
00:31,280;00:39,800;"say, the Patriots Dinesley podcast. This week is the 2001 AFC Championship game, which we"
00:39,800;00:46,640;"are subtitling the Drew Bledso Renaissance. I don't know if we are, I made that up literally"
00:46,640;00:52,840;"right now. So nice. Yeah. Glad you like it. With us today, we have the brothers"
00:52,840;00:58,520;"against Stephen Greg. And we also have another special guest who I guess for"
00:58,520;01:03,560;"this podcast, we're calling good Steve. We've decided. Well better, Steve. Bald"
01:03,560;01:15,120;"Steve. Oh, yes. Other one works. Less in the tea. Wow. Off to a rousing start."
01:15,120;01:22,760;"And so yes, last shitty Steve is a Steelers fan."
01:22,760;01:26,480;"So we'll let you call him what you will as listeners."
01:26,480;01:29,000;"So Steve, thanks for joining us."
01:29,000;01:31,280;">> No problem."
01:31,280;01:35,720;">> And you are, as we said, a Steelers fan."
01:35,720;01:36,520;"That is correct, right?"
01:36,520;01:38,440;"You haven't been lying to everybody?"
01:38,440;01:39,560;">> Yeah, 100%."
01:39,560;01:42,640;">> No, he's not going to steal his name."
01:42,640;01:43,120;"His dog is named Heinz."
01:44,240;01:45,240;"No, that's true."
01:45,240;01:46,240;"Indeed."
01:46,240;01:47,600;"After Heinz Ward, not after the stadium."
01:47,600;01:49,760;"Dude, that was what I was wondering actually."
01:49,760;01:51,160;"Not after the catch up."
01:51,160;01:53,360;"Yeah, that's the catch up."
01:53,360;01:54,360;"That's not the catch up."
01:54,360;01:56,840;"The dog does love food, Steve."
01:56,840;01:57,840;"He does love food."
01:57,840;01:58,840;"That's true."
01:58,840;01:59,840;"But what dog doesn't?"
01:59,840;02:02,240;"Oh, he's named after Ben Roth is burger."
02:02,240;02:04,880;"No, that's the next dog."
02:04,880;02:05,880;"Oh, geez."
02:05,880;02:09,680;"Are you going to name your next dog Big Ben or something like that?"
02:09,680;02:12,880;"I mean, if I, my way, yeah, but probably not going to happen."
02:12,880;02:13,880;"God, you got to."
