Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,760;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,760;00:08,200;"you have the choice not to."
00:08,200;00:12,640;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,640;00:15,960;"to be funny, but really, they're just being stupid."
00:15,960;00:17,200;"You still want to listen?"
00:17,200;00:18,200;"Go right ahead."
00:18,200;00:20,680;"I am not your mother."
00:20,680;00:23,440;"Okay."
00:23,440;00:29,760;"Hey, welcome back to the special edition really of the"
00:29,760;00:33,600;"pagers.dinesie podcast, a playoff edition. We have made it to"
00:33,600;00:37,320;"the playoffs boys. Congratulations. How you feeling about"
00:37,320;00:42,600;"that? Just like the rest of the Patriots nation in 2001. I"
00:42,600;00:46,680;"didn't think we'd make it this far. It's just another game."
00:48,520;00:49,780;"Business as usual."
00:49,780;00:52,380;"Uh, I don't believe you."
00:52,380;00:54,480;"I appreciate."
00:54,480;00:55,600;"I appreciate the tone."
00:55,600;01:00,040;"It's only the greatest game of the dynasty."
01:00,040;01:01,720;"I'm saying it."
01:01,720;01:02,800;"I'm saying it."
01:02,800;01:03,900;"Okay."
01:03,900;01:05,500;"Media coming out."
01:05,500;01:06,260;"Fire in."
01:06,260;01:07,860;"Let's let's start with that then."
01:07,860;01:09,500;"I want to."
01:09,500;01:10,020;"I want to."
01:10,020;01:12,820;"I want your take on this defend your hot take."
01:12,820;01:18,320;"Dude, this scene, I mean, if you love football, you got a"
01:18,320;01:24,240;"love this game. You know what I'm saying? Just the snow coming down and droves. Yeah, coming"
01:24,240;01:31,240;"down to the last play controversy. Brady putting his stamp on the league. It's just everything"
01:31,240;01:37,080;"like there's so many players that had like they're coming out party today to like Bruce"
01:37,080;01:44,520;"key, see more tie a lot like it was just an unbelievable game. It really was. I mean,"
01:44,520;01:47,220;"I'm not going to argue with you."
01:47,220;01:48,520;"I think it's definitely up there."
01:48,520;01:51,020;"I don't know if it's the best game ever."
01:51,020;01:55,720;"Yeah, but top five at the very least."
01:55,720;01:56,420;"I'm with Andy."
01:56,420;01:56,820;"Yeah."
01:56,820;02:01,020;"In memorable games, I think maybe the best atmosphere."
02:01,020;02:04,820;"Yeah, last game at Fox, but like this."
02:04,820;02:06,320;"So many of you say that this."
02:06,320;02:07,920;"Like it's unbelievable."
02:07,920;02:08,620;"Yeah."
02:08,620;02:12,820;"Maybe I would think I would go so far as to say best non-superable."
02:12,820;02:19,820;"Okay, okay. I can only think of one other game."
02:19,820;02:25,820;"Best non-super game that probably give this a run for its money and that was the one against the Ravens."
02:25,820;02:26,820;"Yeah, I'll see that too."
02:26,820;02:27,820;"That was a good game."
02:27,820;02:36,820;"But this is better than that because like to all the things Greg noted, right, Brady's coming out party in the snow last game of Fox, bro, sort of had a ton of character."
02:36,820;02:38,820;"That's true. Yeah."
02:38,820;02:45,100;"Yeah, just the imagery of every time guys would butt heads, the puff of snow would come"
02:45,100;02:47,020;"off the top of their helmets sort of thing."
02:47,020;02:52,060;"And the Raiders were in black or like, you know, the black trim on it made it even better"
02:52,060;02:55,980;"because the snow versus the black looked so sick."
02:55,980;02:57,500;"It was pretty fast."
02:57,500;03:01,860;"Anytime money gets tackled, they wake up and walk, they get up and they got a face full"
03:01,860;03:02,860;"of snow."
