Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,800;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,800;00:08,240;"you have the choice not to."
00:08,240;00:12,680;"My sons, and of course Michael, sometimes say some naughty things when they're trying"
00:12,680;00:15,680;"to be funny, but really they're just being stupid."
00:15,680;00:17,240;"You still want to listen?"
00:17,240;00:18,240;"Go right ahead."
00:18,240;00:19,240;"I am not your mother."
00:19,240;00:28,320;"Welcome back to part two of a very special episode."
00:28,320;00:33,760;"Super Bowl episode. We thought this was such a special one. And because Matt Chatham talked"
00:33,760;00:39,360;"very long as he did, we thought we'd split this into two episodes. So this is episode two of the"
00:39,360;00:45,360;"Super Bowl 2001 Super Bowl. So thanks for coming back to us. We're going to take you to Sunday,"
00:45,360;00:53,920;"February 3rd, 2002 in Louisiana. Superdome is pre-Katrina. This is the old super."
00:53,920;01:00,960;"Your New England Patriots are facing the greatest show on turf in the second time this season."
01:00,960;01:06,640;"The first one didn't go the Patriots away and because of that these"
01:06,640;01:11,440;"Patriots are 14 point underdogs, the biggest underdogs I think in Super Bowl history."
01:11,440;01:15,680;"Wrong. That's true they're not the biggest underdogs."
01:15,680;01:18,000;"They're the biggest underdogs."
01:18,000;01:19,600;"Who's the biggest underdogs?"
01:19,600;01:21,760;"At this time. Yeah Greg who's the biggest underdogs?"
01:21,760;01:24,760;"I looked it up and there's some old one."
01:24,760;01:26,760;"It was 18."
01:26,760;01:27,760;"Really?"
01:27,760;01:28,760;"Yeah."
01:28,760;01:30,760;"Oh, the, uh, was that the Jo Neemoth one?"
01:30,760;01:32,760;"It might have been."
01:32,760;01:33,760;"I looked it up."
01:33,760;01:34,760;"Guaranteed victory."
01:34,760;01:36,760;"I know the biggest blowout was, I don't think."
01:36,760;01:39,760;"This is the, I was talking about upsets."
01:39,760;01:40,760;"Yeah."
01:40,760;01:43,760;"Jets called Super Bowl three 18 points spread."
01:43,760;01:44,760;"Wow."
01:44,760;01:47,760;"Didn't the only score like 18 points a game back then too?"
01:47,760;01:48,760;"Yeah."
01:48,760;01:51,160;"The final score is 16 to 7."
01:51,160;01:52,720;"[LAUGHTER]"
01:52,720;01:55,360;"Well, we're not going to ruin the final score by this one."
01:55,360;01:56,960;"And I mean, that's how you won."
01:56,960;01:58,360;"I think they're going to ruin that."
01:58,360;02:01,840;"[LAUGHTER]"
02:01,840;02:03,560;"So we've already talked about the Rams, really,"
