Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:19,440;"I am not your mother."
00:19,440;00:26,080;"Welcome back to the Pages of the Odyssey podcast."
00:26,080;00:31,360;"a bi week last week, but in preparation for a big game, you kind of have to do that."
00:31,360;00:39,000;"So we're back. And it is your host here. Any Brown along with both brothers, Brown, Greg"
00:39,000;00:44,800;"and Steve, who I believe actually both watched the game this week. I always watch the game."
00:44,800;00:51,440;"Me too. I think we both know talking about you, Steve."
00:51,440;00:52,820;"And Bobby's on."
00:52,820;00:54,900;"And we got to ruin the surprise."
00:54,900;00:55,900;"Yeah."
00:55,900;00:57,860;"At least he are ruining the surprise."
00:57,860;01:00,100;"He has lurked into the bedroom."
01:00,100;01:02,340;"She doesn't hear anything we're saying."
01:02,340;01:04,300;"And he was just about to announce me."
01:04,300;01:05,300;"Yeah."
01:05,300;01:06,500;"I can only imagine."
01:06,500;01:07,540;"OK, it's fine."
01:07,540;01:08,900;"OK, bye."
01:08,900;01:09,900;"I can't get him."
01:09,900;01:10,400;"Good."
01:10,400;01:11,060;"Yeah."
01:11,060;01:12,100;"Thanks for the contribution."
01:12,100;01:13,820;"Great start."
01:13,820;01:14,340;"Yeah."
01:14,340;01:17,540;"And so for the surprise that was now ruined,"
01:17,540;01:20,100;"we have also with us joining us today"
01:20,100;01:27,660;"our brother in law, Bobby Bridges, the Carolina Panthers fan, Bobby Bridges, it felt appropriate"
01:27,660;01:28,660;"to bring him back."
01:28,660;01:33,420;"We've talked to him before, but these are better circumstances for you, Bobby."
01:33,420;01:39,700;"I would think I'm just here to boost my ratings from the last time I was on."
01:39,700;01:40,700;"With whom?"
01:40,700;01:41,700;"Yeah."
01:41,700;01:42,700;"You know, again, three anyways."
