Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;"This is Christine Brown, and while I have to listen to this podcast as my motherly duty,"
00:06,720;00:08,160;"you have the choice not to."
00:08,160;00:12,360;"My sons sometimes say some naughty things when they're trying to be funny, but really,"
00:12,360;00:14,200;"they're just being stupid."
00:14,200;00:15,440;"You still want to listen?"
00:15,440;00:16,440;"Go right ahead."
00:16,440;00:17,680;"I am not your mother."
00:17,680;00:29,480;"Welcome back to the pages of Dinesie Podcast, week 16 of the 2003 season."
00:29,480;00:31,480;"I can't believe we've made it this far."
00:31,480;00:34,480;"Like that's a lot of games to watch."
00:34,480;00:37,480;"Yeah, I haven't watched all of them."
00:37,480;00:38,480;"I have."
00:38,480;00:40,480;"I think I have watched everything."
00:40,480;00:43,480;"I think I'm the only one who's watched every single one of these games."
00:43,480;00:44,480;"Yeah, I definitely did."
00:44,480;00:46,480;"Some of them I wouldn't do again."
00:46,480;00:50,480;"There have been some dolphins games that we probably should have skipped."
00:50,480;00:52,480;"But that's not what we do here."
00:52,480;00:54,480;"And some of you do here."
00:54,480;00:55,480;"I do that."
00:55,480;00:56,480;"I do that."
00:56,480;00:57,480;"And Greg also."
00:57,480;00:59,480;"Yeah, Greg does that all."
00:59,480;01:01,280;"He's actually the worst."
01:01,280;01:05,480;"He also skips full episodes that just doesn't even show up,"
01:05,480;01:06,580;"which is what it's having tonight."
01:06,580;01:10,380;"But we actually have a special guest tonight."
01:10,380;01:14,580;"And it is somebody who we've talked about before"
01:14,580;01:18,780;"because they sent a text to the Dynasty Hotline."
01:18,780;01:21,580;"Steve, what's the number?"
01:21,580;01:23,480;"So three because we're from New Hampshire."
01:23,480;01:24,480;"Correct."
01:24,480;01:25,880;"Five oh five."
01:25,880;01:30,160;"Okay. And then obviously last part's easy to Troy Brown for three."
01:30,160;01:32,160;"Zero six, oh three."
01:32,160;01:34,840;"Five, oh five, eight, oh four, three."
01:34,840;01:37,120;"So welcome to the podcast, uh, Terrick."
01:37,120;01:37,960;"Yes."
01:37,960;01:38,680;"How are you, bud?"
