Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;This is Christine Brown, and while I have to listen to this podcast as my motherly duty,
00:06,720;00:10,920;you have the choice not to. My sons sometimes say some naughty things when they're trying
00:10,920;00:15,720;to be funny, but really, they're just being stupid. You still want to listen? Go right
00:15,720;00:22,080;ahead. I am not your mother.
00:22,080;00:27,700;Welcome back to the Patriots Dynasty podcast. I'm your host, Andy Brown. We are the podcast
00:27,700;00:30,940;that is going back and rewatching every game of the
00:30,940;00:34,260;Dynasty era Patriots. We are we've made it through the 2004
00:34,260;00:38,180;regular season. And we are getting to I'd say one of my
00:38,180;00:44,380;sneaky favorite games, the 2004 AFC Championship game, Patriots
00:44,380;00:50,000;traveling to Pittsburgh, Pennsylvania, the old ketchup
00:50,000;00:55,860;bottle itself. Rest in peace. Right? Yeah. But with me today,
00:56,380;01:02,140;As always, my trusty brothers, Steve Brown, all the way from Virginia.
01:02,140;01:03,540;Going on, Steve.
01:03,540;01:05,780;This is, this is exciting.
01:05,780;01:08,820;This isn't just a podcast where we do games with names.
01:08,820;01:10,460;We do every game, including the games.
01:10,460;01:11,420;That's right.
01:11,420;01:12,340;We'll get to that.
01:12,340;01:13,020;Yeah.
01:13,020;01:13,700;Fucking.
01:13,700;01:14,940;Yeah.
01:14,940;01:16,180;So Greg is also here.
01:16,180;01:16,980;Greg, how are you doing?
01:16,980;01:18,180;I'm doing great.
01:18,180;01:19,220;Just dandy.
01:19,220;01:19,980;Yeah.
01:19,980;01:21,900;Only two games left guys.
01:21,900;01:24,180;Two games left.
01:24,180;01:24,740;Yeah.
01:24,740;01:27,820;We're stopping after the third Super Bowl, right?
01:27,820;01:28,820;Oh, is that right?
01:28,820;01:29,820;Yeah.
01:29,820;01:30,820;So then one game left?
01:30,820;01:32,780;I've seen what I need to see.
01:32,780;01:37,460;We'll pick this back up in 2016-ish.
01:37,460;01:38,460;Yeah.
01:38,460;01:39,460;Mm-hmm.
01:39,460;01:41,820;I mean, that is one way of doing it.
01:41,820;01:45,940;But then everything I've set up to this would be a lie, and we can't do that to people.
01:45,940;01:46,940;Should we trash that on me?
01:46,940;01:47,940;I think we should.
01:47,940;01:48,940;Well, we're in a topic.
01:48,940;01:49,940;Yeah.
01:49,940;01:50,940;Yeah.
01:50,940;01:56,480;Steve, you want to give your thoughts on Julian Elnold or explain what's happening for those
01:56,480;01:57,720;that aren't in the know?
01:57,720;01:59,400;Oh, you think I'm in the know?
01:59,400;02:02,040;I don't know anything.
02:02,040;02:03,040;You came in hot with that.
02:03,040;02:04,040;I figured you do.
02:04,040;02:05,040;I was seeing Greg up.
02:05,040;02:07,000;I thought it would trigger him.
02:07,000;02:10,680;It did trigger him, but he kept it under control there for a little bit.
02:10,680;02:11,680;That's a surprise.
02:11,680;02:13,040;Greg, are you feeling all right?
02:13,040;02:14,440;Well, it's not just that one.
02:14,440;02:16,000;There's another one too.
02:16,000;02:17,000;Really?
02:17,000;02:18,000;Yeah.
02:18,000;02:19,000;See, I am not in the know.
02:19,000;02:20,000;I just know about the one.
02:20,000;02:30,840;Greg, can I catch us up? Well, I was watching the preseason game and like halftime, they
02:30,840;02:40,400;did like legitimately like a 15 minute segment on a podcast, Pats from the Past. Yeah. And
02:40,400;02:43,820;basically that it's like the same thing as what we're doing. They're like, do you want
02:43,820;02:50,300;go back and relive all the greatest Patriots memories. And I was like, yeah, do I like
02:50,300;02:55,180;had all these guys got infused with blood. So with Will Fork, all these guys, it's like,
02:55,180;03:00,540;this is bullshit. So you know, one of the guys that does that, right, or used to do it, Brian
03:00,540;03:06,700;Morry, we've had him on the podcast. Yeah, Greg, the guy that runs the Patriots Hall of Fame.
03:06,700;03:13,580;He talked about that podcast on our podcast. Okay. So we already had the
03:13,580;03:18,660;idea. Yeah, they've been doing it before. All they do is interviews with players. So
03:18,660;03:23,780;we're actually approaching on now. Yeah, we're encroaching on their shit by interviewing
03:23,780;03:29,900;people like Kevin Falk and Matt Chatham. What's that? What's that white girl comedian that
03:29,900;03:34,940;steals all jokes? The one that Amy Schumer. Yeah, we're getting Amy Schumer right now,
03:34,940;03:39,140;guys. We are Amy Schumer right now. We're like the fucking Dave Chappelle. They're the
03:39,140;03:40,940;We did this first.
03:40,940;03:43,940;Well, let's talk about something we did do first.
03:43,940;03:47,740;Greg, you came up with, I think it's actually quite a good,
03:47,740;03:51,240;I mean, especially for you, idea in terms of rating these games.
03:51,240;03:54,700;Because we were doing it by Lombardi trophies.
03:54,700;03:56,140;So out of six Lombardis, how many?
03:56,140;03:57,340;And I think that still works.
03:57,340;04:00,500;But you came up with your own system.
04:00,500;04:02,740;Remind me exactly what it was.
04:02,740;04:04,340;I remember all of them.
04:04,340;04:05,340;Well, some of them.
04:05,340;04:07,100;I guess the take home point is one of them
04:07,100;04:15,980;was the name game where you can say three words and define a game like snowball, right?
04:15,980;04:22,180;We all know what game that is. It has a name to it. That's right. Yes. I had three words
04:22,180;04:31,020;or less. Right. I have the snowball Andy. Go fuck yourself. And apparently Edelman's
04:31,020;04:35,700;got his fucking nose to the ground here. Yeah. What's, what's his podcast called? I
04:35,700;04:38,860;I don't know. It's something like names with names.
04:38,860;04:39,800;Games with names.
04:39,800;04:41,580;Games and names.
04:41,580;04:42,900;Right. That's what Schumer does.
04:42,900;04:45,300;She takes the joke and she just like makes it worse.
04:45,300;04:47,700;- The brain does the words and then it's a new joke.
04:47,700;04:49,180;- To make it not as good.
04:49,180;04:50,020;- Yeah.
04:50,020;04:51,740;- I feel like Ellermann might get better guests though,
04:51,740;04:52,580;than we have.
04:52,580;04:55,980;- You would think, but his first episode that came out,
04:55,980;04:58,740;the first game with names that they did,
04:58,740;05:00,800;the helmet catch.
05:00,800;05:02,660;- Oh, geez.
05:02,660;05:04,740;- With guest Eli Manning.
05:04,740;05:06,340;Whoa. What are you doing?
05:06,340;05:08,060;It's rather disrespectful.
05:08,060;05:11,100;And like, what audience are you trying to get with that?
05:11,100;05:13,500;Well, not not New England audience.
05:13,500;05:15,100;I guess he already has that, right?
05:15,100;05:17,540;Did you listen to it, Andy? No.
05:17,540;05:20,180;I'm refusing to listen to his podcast until he comes on ours.
05:20,180;05:24,540;So I'm going to what I'm going to do is I'm going to find Greg's
05:24,540;05:27,180;when he announced his rating system.
05:27,180;05:29,780;And I'll share it with you.
05:29,780;05:31,980;Just fucking remember what it is.
05:31,980;05:35,460;And I'm going to tweet that at Julian Edelman and all of their
05:35,460;05:39,460;podcast related accounts until he comes on the podcast. So
05:39,460;05:42,820;pair with a bunch of highlights too. So you can just this is the
05:42,820;05:43,860;word from Kevin fall.
05:43,860;05:47,660;Yeah. Well, yeah, no, we're taking a different approach with
05:47,660;05:51,300;it with Julian Edelman. We're going to shame him into coming
05:51,300;05:52,460;on the podcast instead of
05:52,460;05:54,940;only is going to work in is no shame on Twitter, dude.
05:54,940;05:59,420;Well, say it's like the point of Twitter is you just say things
05:59,420;06:00,180;without shame.
06:00,180;06:01,580;We shall say
06:01,700;06:08,820;just a big old sess not corporate Twitter though he's part of corporate Twitter he is oh yeah he's
06:08,820;06:13,940;all about branding and all that stuff he is a brander yeah and his podcast is a big brand
06:13,940;06:17,940;you can tell it's a lot of money behind they have a bunch of fancy graphics and shit
