Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;This is Christine Brown, and while I have to listen to this podcast as my motherly duty,
00:06,720;00:10,920;you have the choice not to. My sons sometimes say some naughty things when they're trying
00:10,920;00:15,720;to be funny, but really, they're just being stupid. You still want to listen? Go right
00:15,720;00:24,680;ahead. I am not your mother.
00:24,680;00:29,240;Welcome back to the Pageant's Dynasty podcast, the podcast where we're going back and rewatching
00:29,240;00:33,620;every game of the dynasty era. Uh, we haven't actually done that in a while.
00:33,620;00:38,720;But we are back at it today. And with me are the trusty brothers,
00:38,720;00:41,180;Brown, Steven, Greg boys. How you doing?
00:41,180;00:44,780;I'm doing great and full piss and vinegar for this playoff.
00:44,780;00:46,300;Right.
00:46,300;00:50,300;It's all at this point, you know, oh, um,
00:50,300;00:53,020;beating the cults again.
00:53,020;00:57,460;Wake me up in the super bowl.
00:57,460;01:04,420;Well, all right. So, yeah, if you hadn't, if you weren't aware, if you've forgotten,
01:04,420;01:08,980;because it's been so long since we've done one of these, we are starting the 2004 playoffs
01:08,980;01:15,060;with the AFC divisional round where the Colts would come to Foxborough Stadium. No,
01:15,060;01:19,140;Foxborough, Massachusetts, Gillette Stadium, no longer Foxborough Stadium.
01:20,580;01:27,620;to play the New England Patriots who came into the game at 14 and two. No big deal.
01:27,620;01:33,540;Colts would finish their season 12 and four. One of those losses was to this New England Patriots.
01:33,540;01:41,540;The first week of the season. And after that game, they mentioned in this, the announcers
01:41,540;01:46,020;were saying that Tony Dungy said, "Because we lost that, we'll be playing them in January
01:46,020;01:48,660;at their place." That's right. He foreshadowed this.
01:48,660;01:54,020;He sure did. He was correct. But this was...
01:54,020;01:55,220;He should have done something about it.
01:55,220;01:57,220;That game was at Indianapolis too, right?
01:57,220;01:59,620;No, it was Banner Night, Stevie. Come on.
01:59,620;02:01,540;It was Banner Night, baby.
02:01,540;02:05,300;You're thinking of the goal line stop game that was last year.
02:05,300;02:07,140;Yeah, that was 2003.
02:07,140;02:16,980;Yeah, this year was Peak Peyton Manning. This was what all the kids have forgotten when they say
02:16,980;02:26,340;that whoever their favorite current quarterback is, is the best quarterback ever. The scariest
02:26,340;02:33,860;quarterback ever. Can I get that off my chest? Goat, that whole acronym is the most overused thing
02:33,860;02:40,580;in not even just sports, but in everything. I feel like it wasn't really a thing before
02:40,580;02:44,660;Brady though. It wasn't. Maybe Jordan. It wasn't. Maybe Jordan started it?
02:44,660;02:47,940;And then I think it came around like the same time people started going Brady
02:47,940;02:50,500;to go and then they're like, well, Jordan's the go.
02:50,500;02:55,300;And then next thing you know, everybody under the sun is the goddamn goat.
02:55,300;02:56,420;It's true. Yeah.
02:56,420;03:00,740;Look at this little goat I have from Chewy still.
03:00,740;03:02,580;Remember this thing, Greg?
03:02,580;03:04,460;What? Why do you have that?
03:04,460;03:08,300;Because you know me, I like keeping old shit for way too long.
03:08,300;03:10,900;What significance to that?
03:10,900;03:12,180;I thought that was before.
03:12,180;03:15,060;This is the Tom Brady goat that we had in the minivan.
03:15,060;03:18,500;I would have thought the minivan out dated that.
03:18,500;03:21,860;Oh, no, this thing is definitely chewy.
03:21,860;03:26,900;So for those that don't know, we used to have a Plymouth Grand Voyager that was originally purple
03:26,900;03:32,820;until we rattle canned it four, five, six times into different things.
03:32,820;03:36,740;I think when it died, was it still the green monster?
03:36,740;03:39,780;We redid the green monster at one time.
03:39,780;03:41,780;Yeah, we did. Yeah, we did that one twice, I think.
03:41,780;03:45,860;- Why do we never do a Patriots, a goat version, you know?
03:45,860;03:48,940;- Yeah, this is too gauche.
03:48,940;03:51,820;- We could have changed the license plate to goat.
03:51,820;03:53,500;- We could have.
03:53,500;03:56,180;We could have done it like the Dumb and Dumber.
03:56,180;03:58,660;- Did you say that's too gauche, Andy?
03:58,660;03:59,500;- Yeah.
03:59,500;04:00,340;(laughs)
04:00,340;04:01,160;- Jesus Christ.
04:01,160;04:02,300;- Actually, you know why?
04:02,300;04:06,380;It was because I could only do straight lines with the tape.
04:06,380;04:09,560;So I could do the boxes for Fenway Park,
04:10,640;04:15,200;But I couldn't do like, I wasn't able to freehand the Patriots logo and spray
04:15,200;04:19,640;paint. How do we do those silver flames then?
04:19,640;04:20,860;Cause those things are tits.
04:20,860;04:22,360;Those were awful.
04:22,360;04:27,080;We just spray paint. We just got spray paint from the store.
04:27,080;04:31,340;Well, that was when Pimp My Ride was, was hot in the streets.
04:31,340;04:32,260;That's true.
04:32,260;04:36,140;So you bought a spinning hubcaps that would helicopter off the side of the van.
04:36,140;04:37,420;If you were on highway speeds.
04:37,560;04:42,200;And if you remember the first iteration, we just literally wrote pimp my ride in
04:42,200;04:47,160;spray paint and mom was like, you will not be driving a car that says pimp around
04:47,160;04:50,360;on it to be fair.
04:50,360;04:52,200;Yeah, that's kind of legit.
04:52,200;04:53,040;Yeah.
04:53,040;04:54,440;Yeah.
04:54,440;04:54,840;Yeah.
04:54,840;04:56,160;That was a wise decision by her.
04:56,160;05:04,240;But, uh, speaking of, of pimping, pimping rides, this colt offense was, it
05:04,240;05:07,080;was big pimping in the exhibit of.
05:07,280;05:14,320;The NFL at that point. 100% yeah, because if you like a thousand yard receivers, they'll give you not one, not two, but three
05:14,320;05:17,920;One thousand yard receivers in the same season. Can you name them?
05:17,920;05:20,720;Yep, Harrison Wayne Stokely
05:20,720;05:24,240;You're reading my notes, aren't you? No, I'm reading my own notes
05:24,240;05:28,960;Look who came prepared for the playoffs. Holy shit
05:28,960;05:34,720;You didn't get in order but that's cool enough. They had rookie Dallas Clark too, the tight end
05:35,680;05:38,960;I don't know if it was rookie, but it was early Dallas clock. Yeah, it's definitely early.
05:38,960;05:43,920;Yeah. And he went for, I don't know, like close to a thousand yards. And then the only real players
05:43,920;05:50,160;they had on defense was Dwight Freene and Robert Mathis, who were SAC specialists, especially in
05:50,160;05:57,360;the dome on that turf. I think Freene actually led the league with 16 sacks. Mathis had 10 and a
05:57,360;06:02,680;half himself. And then they also had rookie Bob Sanders, their
06:02,680;06:06,600;first pick of the 2004 draft, which came around two, I don't
06:06,600;06:07,840;know what happened in the first draft.
06:07,840;06:14,320;So with this offense, you know, you'd think they would go pretty
06:14,320;06:17,900;heavy in the draft colts. So two other farmers gonna give you the
06:17,900;06:21,960;positions that they drafted. Safety tight end linebacker,
06:21,960;06:24,720;linebacker, cornerback, guard, cornerback, quarterback, kicker.
06:26,400;06:31,600;All of those players except the kicker actually made the roster and this defense was garbage.
06:31,600;06:34,800;There's no names on here that are actually worth.
06:34,800;06:38,160;I was like middle of the road though, weren't they?
06:38,160;06:49,120;17th or something in points. It was one of those things where the other teams, the powerhouses in
06:49,120;06:55,520;the AFC were the first and second scoring defenses. And then it was the Colts who just decided,
06:55,520;06:57,320;We're not doing defense this year.
06:57,320;07:02,000;Uh, and they just, they just won games on, on offense alone.
07:02,000;07:04,920;But I mean, their offense is historically good.
07:04,920;07:08,600;Like we talked about it last year about how hot they were coming into that.
07:08,600;07:15,200;They see championship game, but this team was arguably a better offense than
07:15,200;07:16,800;the Colts team last year.
07:16,800;07:17,500;This was a record.
07:17,500;07:18,720;This was a historical time.
07:18,720;07:19,560;So yeah.
07:19,560;07:20,000;Yeah.
07:20,000;07:25,000;Uh, cause this was the year that Peyton Manning broke Marino's touchdown record
