Start Timestamp;End Timestamp;Transcript
00:00,000;00:06,720;This is Christine Brown, and while I have to listen to this podcast as my motherly duty,
00:06,720;00:10,920;you have the choice not to. My sons sometimes say some naughty things when they're trying
00:10,920;00:15,720;to be funny, but really, they're just being stupid. You still want to listen? Go right
00:15,720;00:18,520;ahead. I am not your mother.
00:18,520;00:28,600;Welcome back to the Page of Fantasy podcast. The only podcast I would have to assume where
00:28,600;00:36,200;We are going back and rewatching every game of the Patriots dynasty starting in 2001.
00:36,200;00:39,160;We have finished the 2004 regular season.
00:39,160;00:43,780;So if you want to listen to those, you can go back and listen to that.
00:43,780;00:47,800;But since the Patriots have a bye week, we thought we would kind of take like we do traditionally
00:47,800;00:51,320;our bye week and do something a little bit different.
00:51,320;00:57,360;So this time, Greg has convinced us to watch a random game that is important to him and
00:57,360;01:01,560;really only him. That's not true. That's not true at all.
01:01,560;01:05,600;In this family, a legendary game. This now it's important to
01:05,600;01:09,920;dad. He was there too. That might be and it's our grapes.
01:09,920;01:14,000;That's exactly what's important to me because I was first on
01:14,000;01:18,480;the list to go to this game. But I was overruled by McBrown. And
01:18,480;01:20,600;he brought Greg instead and it turned out to be an instant
01:20,600;01:23,200;classic. So Greg, what game are we talking about?
01:24,280;01:32,440;1998 week 13 Patriots versus Bills also known as the Terry Glenn Hail Mary interference game
01:32,440;01:37,400;Ben Coase touchdown Vintaria two-point conversion game. Spoiler.
01:37,400;01:44,520;Yeah, that's the game. Yeah, all right. Well, I don't know. Everyone calls it that though. I
01:44,520;01:49,720;feel like the name is generally a little shorter. What would you call it Steve? I don't know. I
01:49,720;01:54,120;don't remember this game that much. I remember being sort of excited, but this is pretty young.
01:54,120;01:59,800;Yeah, I remember being super fucking salty. I think it's a good at scale. Yeah, I'll bet Andy
01:59,800;02:01,720;There's definitely a reason why though
02:01,720;02:06,080;I believe the reason why is because I had been to data taking me to a Red Sox game and
02:06,080;02:09,640;That was the last game that anybody had gone to so
02:09,640;02:13,020;Well, you're probably the first one to go to our Red Sox game, too
02:13,020;02:19,020;Well, yes, I went to Red Sox game before you guys were born. So yes, that is correct. There you go
02:19,020;02:21,920;Craig was the first to go to a Patriots game
02:23,560;02:25,560;This is your first game, right?
02:25,560;02:29,560;Well, technically I went to a Patriots game as an infant.
02:29,560;02:31,560;Oh, yeah.
02:31,560;02:43,560;In the early 80s, when our grandmother came over, mom's mom, and from what I understand, this was the time when the Patriots were an absolute shit show.
02:43,560;02:49,800;show and they, uh, like, you know, early eighties. So it was all a bunch of controversy going
02:49,800;02:54,440;around. I think there was something to do with one of the, uh, like female reporters getting
02:54,440;03:00,840;harassed in the locker room. Yes. And so the fans were passing around, um, like blow up dolls,
03:00,840;03:07,560;like inflatable sex dolls around the crowd, like you do with beach balls. Um, and so my,
03:07,560;03:13,320;our parents decided that was a good idea to bring grandma to, um, very religious woman.
03:13,320;03:21,160;from English. Very British. Yeah. And so I think me and Grandma ended up in the car in the parking
03:21,160;03:26,920;lot and Grandma got to see a handful of people just peeing in between cars while the game was
03:26,920;03:31,080;happening. Well, they brought not just Grandma to that game, they also brought an infant. Right.
03:31,080;03:36,760;Yeah, I was there as well, apparently. So a nice family outing, which I think kind of says a lot
03:36,760;03:42,440;about the fact that we're doing this podcast now, maybe. It can't be worse than an English soccer
03:42,440;03:46,280;game, which I'm sure grandma wouldn't do. That's actually a good point, Greg. Yeah.
03:46,280;03:50,920;As far as I heard way rooter and see way more gross stuff at the soccer game growing up.
03:50,920;03:55,720;Yeah. Yeah. Yeah. It's definitely less violent. And like, you know, World War II.
03:55,720;04:02,440;Yeah. And also I think the one thing that American sports is missing are the the chance.
04:02,440;04:08,600;Oh yeah. Americans are not good at chanting. That whole section was in that Patriots dynasty
04:08,600;04:12,200;book. You send me Andy from the guy who did the tiger was one.
04:12,200;04:13,000;I forget his name.
04:13,000;04:15,800;Something super generic. Jeff.
04:15,800;04:17,880;Yes, it was.
04:17,880;04:22,120;Jeff Howes on it now. I'm so bad at Jeff Benedict.
04:22,120;04:24,480;That book was sweet.
04:24,480;04:26,560;Yeah. Yeah. Yeah. If you don't, if you haven't read it yet,
04:26,560;04:29,560;I recommend it. Although I had a hard time getting through
04:29,560;04:31,480;the 2007 season part of it.
04:31,480;04:34,960;Oh, yeah. But read it just like the opening is in there.
04:34,960;04:38,120;The opening is about Drew Bloodsow and his injury.
04:38,120;04:40,280;And it's a fascinating rate.
04:40,280;04:42,280;- Which is good context for this game
04:42,280;04:43,960;because he has an injury in this game too.
04:43,960;04:45,320;- Correct. Yeah.
04:45,320;04:49,380;So Greg, tell us about what we got going on here in 1998.
04:49,380;04:51,960;- What's the scene for us?
04:51,960;04:52,800;- Paint us a picture.
04:52,800;04:57,800;- Six and five Patriots versus seven and four Bills.
04:57,800;05:00,440;- Yes.
05:00,440;05:05,440;- Coming down the playoff scenario stretch here.
05:05,440;05:06,360;- Correct.
05:06,360;05:07,300;- Pat's trying to make the playoffs.
05:07,300;05:11,780;I guess they had a super dramatic win on Monday night rolling into this game.
05:11,780;05:13,860;Yeah. Yeah. Does that game have a name?
05:13,860;05:20,500;Yeah. Remember that the drew blood. So finger game. Um, yeah, this was, uh,
05:20,500;05:26,340;the game where drew blood. So engineered a last minute come from behind,
05:26,340;05:31,420;uh, touchdown drive while in the middle of the drive,
05:31,420;05:36,420;breaking his index finger in two places, um, on the helmet of his,
05:36,620;05:42,180;somebody. I'm not quite sure who. And still managed to throw a game winning like 20 something
05:42,180;05:47,820;girl touchdown right at the end of the game. Sean Jefferson. Yeah, great.
05:47,820;05:52,660;Yeah, a clip of it. Yeah, well, we'll post the the highlights of that. This whole game
05:52,660;05:58,500;was on YouTube, right? This whole game, this whole game was on YouTube. Did you watch it?
05:58,500;06:03,620;I did. I watched it in two, two different YouTubes. One was a little more stretched
06:03,620;06:08,740;out. Yes, but it had the whole game and the one that was normal size didn't have the fourth
06:08,740;06:14,900;quarter, which is what was that? That was what was that? Should we talk about some names?
06:14,900;06:19,100;Because there's a whole shitload of throwback names. Can we just rattle some off here?
06:19,100;06:24,180;Hang on, hang on. Before you do that, I just want to touch on a bit more of the context.
06:24,180;06:28,740;This was when the AFC East still had the Colts in it. And so there are one, two, three, four,
06:28,740;06:36,020;teams in the AFC East, four of them would make the playoffs this year. Patriots were the four seed
06:36,020;06:41,940;in or I believe six seed in the AFC at nine and seven. Bills were the fifth seed at 10 and six.
06:41,940;06:47,700;Miami Dolphins, four seed, also 10 and six. And the New York Jets, the second seed in the AFC
06:47,700;06:51,380;at 12 and four. So this is like the last time the Jets were actually good.
06:51,380;06:56,020;This is probably the last time the Jets. Yeah. Because they have Curtis Martin,
06:56,020;06:57,460;- He's just running over everybody
06:57,460;06:59,560;and just being an absolute beast for them.
06:59,560;07:00,600;- Correct.
07:00,600;07:01,440;That is absolutely-
07:01,440;07:02,820;- They showed the highlights of the Jets game
07:02,820;07:04,580;earlier the day during the broadcast
07:04,580;07:07,220;and he has like 140 yards.
07:07,220;07:08,060;- Yeah.
07:08,060;07:11,040;- Had some sick runs where he just runs away from everybody.
07:11,040;07:14,100;- Yeah, that was Pete Curtis Martin in 1998.
07:14,100;07:16,940;So I believe that was the year that he left, correct?
07:16,940;07:18,700;- Yes.
